,title of product,star ratings on Amazon,number of reviews on Amazon,rank on Amazon best selling iced tea,prices of items on Amazon,number of items per pack,number of packs,total number of items,drink container of item,Material of drink item,width (cm) of item,height (cm) of item,depth (cm) of item,weight (kg) of item,total volume (ml) of item,volume per bottle (ml) of item,caffeine in item,caffeine description,caffeine mg per bottle,country of origin of item,Additives in item,Additive contents in item,Storage Instructions of item,preservatives in item,energy (kcal) in item,Fat (g) in item,Protein (g) in item,Salt (g) in item,Sodium (g) in item,Reviews title of prices that are positive,Reviews contents of prices that are positive,Reviews title of prices that are critical,Reviews contents of prices that are critical
38,"BLUE TEA - Hibiscus Mint Iced Tea (36 Tea Bags) | Refreshing cool beverage | Herbal Iced Brew, Cold Brew, Detox | Gluten-free - 100% natural - GMO-free |",4.8 out of 5 stars,14,#39,£15.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mango Yuzu Ice Tea by KAYTEA - Organic Certified - Low Calorie - Cold Brewed - White Tea Infusion - Refreshingly Light - Recyclable Cans (Pack of 12 x 330mL),5.0 out of 5 stars,10,#40,£20.29,12,1,,can,metal,23.9,17.9,15.3,4.06,3960,330,yes,low caffeine,,UK,yes,"?Low Calorie, Organic Certified, Vegan",,,,,,,,,,,
40,San Pellegrino Lemon Iced Tea Cans 24 x 250ml,3.8 out of 5 stars,22,#41,£19.98,24,1,,can,metal,,,,,6000,250,,,,,,,,,,,,,," Great taste, awesome","Great taste & good price cheeper than a certain coffee chain; arrived fast, really goood quality drink for the price! will definately buy again!",,
41,"Peace Tea Caddy Shack Cans, 695 mL, 12 Pack",4.0 out of 5 stars,1,#42,£19.99,12,1,,can,metal,,,,,8340,695,yes,,12,Canada,,,,,,,,,,,,,
42,TWG TEA Vanilla Bourbon Tea - Tea - Iced Tea - Rooibos Rea - Tea Blend in Haute Couture - Gift Tea Tin - 37.5g,4.4 out of 5 stars,57,#43,£14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Vita Lemon Tea Drink 6X 250ml,3.9 out of 5 stars,9,#44,"Out of Stock, no Prices available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Lipton Raspberry Ice Tea - 12x500ml,4.3 out of 5 stars,19,#45,£14.49,12,1,,bottle,plastic,19,25,22,6.42,6000,500,,,,,,,,,,,0.5,,,,,,
45,Arizona Peach Iced Tea 500 ml (Pack of 6),4.5 out of 5 stars,130,#46,£10.49,6,1,,bottle,plastic,7.01,7.01,19.99,3.32,3000,500,yes,high caffeine,,Germany,,,?Keep refrigerated. Store in a cool dark place.,no,30.59,0.1,0.1,,,"Yummy, Such a great flavour","So easy to drink all 6 at once! Absolutely lovely drink but not much different in price per. Bottle than at stores; 
Absolutely love it! Excellent price, quality and delivery was quick, it's such a great flovour"," 1st time happy And fair price, 2nd time seller has s becoming to greedy, as a result no longer using this seller","Love the drink!!!!!
Hate greedy people, had intention to purchase again but a �5 increase per box?!?!?! Thanks but you can keep in stock,
NOT Purchasing a single botlle until The price drops"
46,"2 x 1 Litre Sweetbird Coffee, Cocktail, Cooking, Iced Tea Drink Syrup Multi Flavours (2 x Passionfruit Lemon Iced Tea)",5.0 out of 5 stars,3,#47,£21.37,2,1,,bottle,plastic,,,,,2000,1000,,,,UK,,,,,,,,,,,,,
47,Lemon Zest Ice Tea by KAYTEA - Organic Certified - Low Calorie - Cold Brewed - Black Tea Infusion - Refreshingly Light - Recyclable Cans Pack of 12 x 330mL),5.0 out of 5 stars,8,#48,£20.29,12,1,,can,metal,24.6,18.4,15.8,4.22,3960,330,yes,low caffeine,,UK,yes,"?Low Calorie, Organic Certified, Vegan",,,,,,,,,,,
48,"TEAZEN Berry Flavor 30 Stick Pack, Kombucha Powder Drink Mix (Berry 30 Sticks x 1.76oz)",5.0 out of 5 stars,3,#49,"Out of Stock, no Prices available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Arizona Grapeade 23 FL OZ (695ml) - 6 Cans,4.7 out of 5 stars,12,#50,£11.99,6,1,,can,metal,22.5,15.01,19,4.44,4080,695,,,,,,,,,,,,,,,,,
50,Master Kong Green Tea 500ml (15 Bottles),5.0 out of 5 stars,3,#51,£29.50,15,1,,bottle,plastic,35.4,22.3,21.9,8.3,7500,500,,,,China,,,,,,,,,,,,,
51,Arizona Fruit Punch 23 FL OZ (695ml) - 12 Cans,4.8 out of 5 stars,16,#52,£19.99,12,1,,can,metal,30,22.5,19,9.12,8162.3,695,,,,,,,,,,,,,,,,,
52,"Arizona Original Green Tea with Honey, 6 x 500ml PET Bottles, Delicious Iced Tea Drink, No Artificial Flavours, No Artificial Preservatives",4.3 out of 5 stars,6,#53,£11.49,6,1,,bottle,plastic,25,20,15,3,3000,500,yes,low caffeine,,Germany,,,See The Packaging For More Information,no,4.06,0,0,0,,Deliciously Refreshing,The pomegranate flavour is the best! So yum with the perfect sweetness. Price is also decent for a pack of 6. Will definitely purchase again.,Not a fan of the taste,"I didn't really like the taste and not sure the price is justified. If you're a fan of it then why not but silly of me to buy considering it was my first time trying it.
There's better ice teas out there."
53,Tetley Mango and Passion Fruit Cold Infusions (4 Boxes of 12 Tea Bags),4.4 out of 5 stars,161,#54,£9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Instant Lemon Iced / ice tea 3 X 285g approximately makes 46 CUPS of instant lemon tea - served hot or over ice , perfect refreshing taste summer drink . Snowflakeheaven",4.3 out of 5 stars,18,#55,£13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Simply Jasmine and Lime Iced Tea Syrup 1 Litre,3.9 out of 5 stars,30,#56,£7.08,1,0,,bottle,plastic,30,8.6,5.4,1.2,1000,1000,no,,,UK,,,,E202,,,,,, Fab Syrup & Great Price.,Love this syrup. Great flavour and really good value - I paid just under �7 for mine. As good as the brand which is used in all the coffee shops. I now have 3 different flavours and will definitely order again.,,
56,"ChariTea - Variety Pack x12 - Organic & Fairtrade Iced Tea - red, Mate, Green, Black - No Refined Sugar - Naturally Sweetened - Low Calorie",4.0 out of 5 stars,4,#57,"Out of Stock, no Prices available",12,1,,bottle,glass,,,,,,,,,,,,,,,,,,,,,,,
57,Lipton Iced Green Tea Citrus Drink Mix Makes 20 Quarts 1.44 kg,4.4 out of 5 stars,12,#58,£18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Buddy State Lemon Iced Tea Syrup Stix. Eco Friendly Packaging. Add One to a Water Bottle to Make 500ml of Sweet Lemon Tea. Makes 10 Liters of Ice Tea. Box of 20 7.5ml Tea Sachets (Pack Of 1),Not available,Not available,#59,£16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Oishi Japanese Style Green Tea Grape 362ml,Not available,Not available,#60,£4.99,1,0,,bottle,plastic,5.6,5.6,16.4,350,362,362,,,,,,,,,,,,,,,,,
60,Snapple Peach Iced Tea Soft Drink 473 ml x 12,4.4 out of 5 stars,44,#61,£27.99,12,1,,bottle,glass,41.2,31.7,21.6,5.6,5676,473,,,,UK,,,?Keep chilled.,,,0,0,0.03,,"
5.0 out of 5 stars Great product but why does the price keep going up?, Great product","I love these - especially as they are sugar free. But why does the price keep jumping from �15.60 to �21? That's a huge increase; I first had this flavour when i was on holiday in New York and i was in love with the flavours. So when i got back to UK i tried my best to try and find this flavour but i was met with very expensive bottles.
When i saw the sugar free bottles of snapple in the same flavours i had to give it a try. The prices were way cheaper than the shops so i got some. I can say that the flavours isnt as strong but it is sugar free.
Im actually quite enjoying the flavour now.",,
61,"Crystal Light On The Go Peach Tea, 10-Count Boxes (Pack of 4)",4.7 out of 5 stars,446,#62,£28.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"2 x 1 Litre Sweetbird Coffee, Cocktail, Cooking, Iced Tea Drink Syrup Multi Flavours (1 x Spiced Chai, 1 x Amaretto)",Not available,Not available,#63,£20.98,2,1,,bottle,plastic,,,,,2000,2000,,,,UK,,,,,,,,,,,,,
63,Arizona Iced Tea with Raspberry Flavour 340ml (Pack of 30),3.5 out of 5 stars,7,#64,£45.99,30,1,,can,metal,7,7,20,370,10200,340,,,,USA,,,,,,,,,,,,,
64,London East India Iced Tea 330ml (six Pack),4.3 out of 5 stars,18,#65,"Out of Stock, no Prices available",6,1,,can,metal,28.5,17.8,17.8,2.28,1980,330,,,,,,,," Sodium Benzoate, Potassium Sorbate",,,,,,,,,
